,feature_names,target_names,task_id
0,"('Monthlyincome', 'monthlyexpenses')",savingsamount,0
1,"('Height', 'weight')",BMI,1
2,"('Studyhours', 'IQscore')",examscore,2
3,"('Age', 'coffeeconsumption')",sleepquality,3
4,"('Commutetime', 'jobsatisfaction')",productivity,4
5,"('Socialmediause', 'lonelinessscore')",depressionscore,5
6,"('Exerciseduration', 'dietquality')",healthscore,6
7,"('Noiselevel', 'memorycapacity')",focusability,7
8,"('Creativetendency', 'opennesstoexperience')",innovationscore,8
9,"('Empathy', 'agreeableness')",relationshipsatisfaction,9
10,"('Extraversion', 'socialnetworksize')",happinessscore,10
11,"('Jobprestige', 'educationlevel')",lifesatisfaction,11
12,"('Positiveaffect', 'resilience')",wellbeingscore,12
13,"('Negativeaffect', 'copingabilities')",anxietylevel,13
14,"('esteem', 'socialsupport')",confidencelevel,14
15,"('Stresslevel', 'leisuretime')",burnoutrisk,15
16,"('Aggressiontendency', 'impulsecontrol')",violentbehavior,16
17,"('Risktaking', 'sensationseeking')",injuries,17
18,"('Optimism', 'purpose')",meaninginlife,18
19,"('Altruism', 'volunteerhours')",communityengagement,19
20,"('Curiosity', 'knowledgeseeking')",wisdomscore,20
21,"('Honesty', 'integrity')",trustworthinessrating,21
22,"('Processingspeed', 'workingmemory')",problemsolvingability,22
23,"('Visualacuity', 'motorcoordination')",athleticperformance,23
24,"('Musicalability', 'practiceroutines')",skilledplaying,24
25,"('Reactiontime', 'strategicthinking')",gameskilllevel,25
26,"('Leadership', 'socialinfluence')",teamperformance,26
27,"('Agreeableness', 'cooperationtendency')",collaborationquality,27
28,"('Attachmentstyle', 'intimacyneeds')",relationshipharmony,28
29,"('Dominance', 'competitivedrive')",statusattainment,29
30,"('Machiavellianism', 'manipulationtactics')",powerachieved,30
31,"('Callousness', 'empathydeficits')",crueltyrisk,31
32,"('Impulsiveness', 'risktaking')",recklessbehavior,32
33,"('Noveltyseeking', 'curiosity')",creativitylevel,33
34,"('Socialparticipation', 'communitybelonging')",civicengagement,34
35,"('Consumerism', 'materialism')",financialproblems,35
36,"('Religiosity', 'purposeseeking')",meaninginlife,36
37,"('Familysupport', 'friendsupport')",resiliencefactors,37
38,"('consciousness', 'anxietysensitivity')",internalizingsymptoms,38
39,"('Morningness', 'sleepconsistency')",dailyproductivity,39
40,"('Orderliness', 'organizationabilities')",tidinessscore,40
