,Logistic Regression,SVM,XGBoost,TabPFN,ERMI,ERMI (PFN-matched)
3,0.8257142857142858,0.8514285714285714,0.7985714285714287,0.8664285714285714,0.8449999868869782,0.8364285618066788
31,0.6421428571428571,0.6357142857142858,0.635,0.6035714285714284,0.6150000020861626,0.6228571534156799
37,0.677142857142857,0.7078571428571427,0.6785714285714285,0.6885714285714285,0.6950000047683715,0.6857142895460129
43,0.5407142857142857,0.7664285714285715,0.7535714285714284,0.7992857142857144,0.7757142871618271,0.7742857068777085
49,0.5535714285714286,0.595,0.6071428571428571,0.5914285714285714,0.6071428596973419,0.5828571498394013
219,0.5542857142857143,0.6007142857142856,0.7035714285714285,0.687142857142857,0.6435714334249496,0.677142858505249
3902,0.7135714285714286,0.7521428571428573,0.7885714285714286,0.7707142857142857,0.771428570151329,0.7607142925262451
3903,0.6514285714285715,0.7264285714285713,0.7357142857142858,0.7278571428571429,0.7107142895460129,0.6864285707473755
3913,0.5892857142857142,0.7314285714285714,0.7257142857142856,0.7257142857142856,0.7257142871618271,0.7114285707473755
3917,0.627142857142857,0.6707142857142856,0.6742857142857142,0.6678571428571427,0.6521428644657135,0.6692857205867767
3918,0.5335714285714286,0.5964285714285714,0.6514285714285715,0.6064285714285713,0.6492857187986374,0.662857149541378
9946,0.9121428571428571,0.9207142857142857,0.9014285714285715,0.9221428571428572,0.9092857033014298,0.9128571301698685
9952,0.5792857142857142,0.7314285714285713,0.6978571428571427,0.6921428571428571,0.7200000017881394,0.7050000011920929
9957,0.5778571428571427,0.7014285714285713,0.6849999999999999,0.6921428571428571,0.7064285784959793,0.701428571343422
9971,0.5492857142857143,0.6385714285714286,0.6228571428571428,0.6121428571428571,0.6285714268684387,0.6414285764098168
9978,0.6614285714285714,0.6907142857142857,0.6707142857142856,0.647142857142857,0.6950000047683715,0.6792857140302658
10093,0.7721428571428571,0.9228571428571428,0.8457142857142858,0.9657142857142856,0.937857136130333,0.9335714191198349
10101,0.4714285714285714,0.5492857142857143,0.5878571428571429,0.567142857142857,0.6185714393854141,0.613571435213089
14952,0.7928571428571429,0.8071428571428572,0.8157142857142856,0.8157142857142856,0.812857136130333,0.8114285677671432
14965,0.582857142857143,0.5614285714285713,0.7385714285714287,0.735,0.7171428561210632,0.7092857092618943
146820,0.5171428571428571,0.5735714285714285,0.6392857142857141,0.637142857142857,0.6507142871618271,0.6542857259511947
167120,0.48571428571428565,0.47785714285714287,0.5028571428571429,0.47785714285714287,0.4985714375972748,0.5000000059604645
167141,0.6321428571428571,0.7271428571428572,0.6799999999999999,0.7185714285714286,0.7328571438789367,0.7371428579092025
