,participant,task,trial,choice,reward,x0,x1,x2,x3,target,time,tier
0,0,0,0,1,1.0,-0.82,0.3,-0.53,-0.32,1,240670.0,0.0
1,0,0,1,1,1.0,-0.41,-0.81,-0.74,-1.06,1,253200.0,0.0
2,0,0,2,0,1.0,1.13,-0.19,1.34,0.84,0,264172.0,0.0
3,0,0,3,1,-1.0,-1.58,-0.55,2.55,-0.55,0,272521.0,0.0
4,0,0,4,1,1.0,-1.22,0.69,-0.91,-1.05,1,280910.0,0.0
5,0,0,5,1,-1.0,-0.21,0.04,0.43,2.09,0,290509.0,0.0
6,0,0,6,0,1.0,0.98,-0.66,0.48,0.02,0,300037.0,0.0
7,0,0,7,0,1.0,1.13,-1.37,1.28,2.7,0,309280.0,0.0
8,0,0,8,1,1.0,-0.16,0.72,-0.92,-0.12,1,315479.0,0.0
9,0,0,9,1,-1.0,-1.01,-1.82,1.72,-1.59,0,321342.0,0.0
10,0,1,0,1,-1.0,0.28,0.39,-1.37,0.23,0,332018.0,0.0
11,0,1,1,0,-1.0,2.15,0.69,1.53,1.6,1,336969.0,0.0
12,0,1,2,1,-1.0,-2.41,-1.66,1.45,-2.21,0,348636.0,0.0
13,0,1,3,1,1.0,2.21,0.31,0.19,0.97,1,361450.0,0.0
14,0,1,4,0,1.0,-0.81,1.63,-1.43,0.32,0,371767.0,0.0
15,0,1,5,0,1.0,-1.05,-0.79,-0.52,-0.87,0,379503.0,0.0
16,0,1,6,1,-1.0,-0.04,0.48,-1.39,0.8,0,387165.0,0.0
17,0,1,7,0,1.0,-2.72,-1.56,0.85,-2.41,0,391774.0,0.0
18,0,1,8,0,1.0,-0.47,0.68,-0.98,-0.85,0,403685.0,0.0
19,0,1,9,1,1.0,1.3,0.57,-2.09,0.35,1,408962.0,0.0
20,0,2,0,1,-1.0,-1.17,-0.16,0.73,-1.23,0,415469.0,0.0
21,0,2,1,1,1.0,3.04,-2.48,1.19,-2.92,1,419498.0,0.0
22,0,2,2,1,1.0,0.25,-0.28,0.0,0.23,1,423066.0,0.0
23,0,2,3,0,1.0,-1.68,-2.6,0.97,-0.54,0,429394.0,0.0
24,0,2,4,1,1.0,2.41,1.34,-0.79,-1.97,1,433355.0,0.0
25,0,2,5,0,-1.0,-0.4,-2.53,0.15,-1.67,1,436762.0,0.0
26,0,2,6,0,1.0,-1.54,1.82,-1.77,1.62,0,440054.0,0.0
27,0,2,7,1,-1.0,0.56,2.67,-1.89,1.23,0,445333.0,0.0
28,0,2,8,0,1.0,-0.82,-1.52,3.0,0.26,0,449296.0,0.0
29,0,2,9,0,1.0,-1.22,-1.26,0.18,1.82,0,453542.0,0.0
30,0,3,0,1,1.0,0.04,-0.51,0.78,-0.83,1,463048.0,0.0
31,0,3,1,1,1.0,0.0,-1.02,0.72,-0.41,1,468975.0,0.0
32,0,3,2,0,1.0,2.06,2.0,-2.67,1.91,0,474169.0,0.0
33,0,3,3,0,1.0,0.66,0.83,-1.18,1.0,0,479983.0,0.0
34,0,3,4,1,1.0,-0.86,-0.18,0.92,-0.48,1,488539.0,0.0
35,0,3,5,0,1.0,0.38,2.11,-1.88,2.38,0,494424.0,0.0
36,0,3,6,0,1.0,2.03,0.26,0.41,-1.14,0,499149.0,0.0
37,0,3,7,1,1.0,-0.98,-2.35,2.66,-1.42,1,502728.0,0.0
38,0,3,8,0,1.0,0.5,0.48,-0.91,-0.26,0,506660.0,0.0
39,0,3,9,0,1.0,1.11,4.6,-0.31,4.06,0,510575.0,0.0
40,0,4,0,1,-1.0,-0.6,-0.16,0.4,-0.25,0,519080.0,0.0
41,0,4,1,1,1.0,0.9,0.93,-0.22,1.6,1,522818.0,0.0
42,0,4,2,1,1.0,1.01,-1.16,1.28,-2.38,1,527471.0,0.0
43,0,4,3,1,1.0,0.46,1.46,1.71,-0.83,1,532239.0,0.0
44,0,4,4,1,1.0,1.26,1.75,1.6,0.07,1,535705.0,0.0
45,0,4,5,1,1.0,2.19,0.94,2.38,-0.87,1,538693.0,0.0
46,0,4,6,1,1.0,1.08,0.34,0.75,-0.12,1,543544.0,0.0
47,0,4,7,1,1.0,0.38,1.0,2.2,-0.92,1,547074.0,0.0
48,0,4,8,0,1.0,-1.97,0.86,-1.62,1.46,0,550927.0,0.0
49,0,4,9,0,1.0,-0.71,-0.51,0.09,-0.02,0,553864.0,0.0
50,0,5,0,1,1.0,2.26,-0.62,-0.14,-1.18,1,559769.0,0.0
51,0,5,1,1,1.0,-0.02,-2.0,-0.42,-0.66,1,564663.0,0.0
52,0,5,2,1,1.0,1.4,-0.3,-0.05,-0.37,1,570231.0,0.0
53,0,5,3,0,1.0,-0.73,1.87,0.18,0.29,0,575697.0,0.0
54,0,5,4,1,1.0,0.89,-1.73,0.35,0.75,1,580760.0,0.0
55,0,5,5,1,1.0,1.27,-1.47,-0.86,0.71,1,584865.0,0.0
56,0,5,6,0,1.0,-0.21,-0.39,1.5,0.9,0,593432.0,0.0
57,0,5,7,1,1.0,2.46,-1.32,-3.77,0.82,1,599674.0,0.0
58,0,5,8,1,-1.0,0.18,0.88,-0.34,-1.18,0,604587.0,0.0
59,0,5,9,0,1.0,-0.23,0.42,1.67,1.03,0,610686.0,0.0
60,0,6,0,1,1.0,0.79,0.75,1.02,-0.8,1,618623.0,0.0
61,0,6,1,0,1.0,-1.05,-1.47,-1.61,0.78,0,621756.0,0.0
62,0,6,2,0,1.0,-0.19,-1.2,1.39,0.58,0,625055.0,0.0
63,0,6,3,0,1.0,-1.91,0.37,0.26,-1.41,0,627937.0,0.0
64,0,6,4,0,1.0,-0.61,0.03,0.26,0.19,0,631129.0,0.0
65,0,6,5,1,1.0,1.11,-1.64,-0.21,1.92,1,635142.0,0.0
66,0,6,6,1,1.0,0.85,-0.15,1.56,1.24,1,638134.0,0.0
67,0,6,7,0,1.0,-1.75,-0.04,0.6,0.49,0,640811.0,0.0
68,0,6,8,0,1.0,-3.47,-2.0,-1.5,1.88,0,643617.0,0.0
69,0,6,9,0,1.0,-1.25,0.17,-0.76,-0.78,0,646795.0,0.0
70,0,7,0,0,-1.0,-1.19,-0.72,0.77,0.69,1,652745.0,0.0
71,0,7,1,0,1.0,3.08,-0.65,0.85,0.52,0,656388.0,0.0
72,0,7,2,1,-1.0,-0.56,2.04,0.92,1.34,0,659874.0,0.0
73,0,7,3,0,-1.0,0.47,-1.31,0.94,-0.86,1,664994.0,0.0
74,0,7,4,1,-1.0,3.32,-2.04,-0.14,-0.89,0,671540.0,0.0
75,0,7,5,0,1.0,3.02,0.26,-0.22,0.58,0,677868.0,0.0
76,0,7,6,1,1.0,-0.95,0.38,2.75,0.91,1,686897.0,0.0
77,0,7,7,0,-1.0,0.67,-1.27,-1.59,-1.85,1,691855.0,0.0
78,0,7,8,1,1.0,-0.24,-0.22,-1.31,-2.82,1,696403.0,0.0
79,0,7,9,0,1.0,2.09,2.26,1.19,2.39,0,699584.0,0.0
80,0,8,0,1,1.0,-1.66,-0.82,0.22,0.07,1,705492.0,0.0
81,0,8,1,0,-1.0,1.92,-3.32,-0.32,0.38,1,708778.0,0.0
82,0,8,2,0,1.0,2.19,-0.97,-0.84,-0.63,0,711926.0,0.0
83,0,8,3,0,-1.0,0.23,-1.68,-0.16,-1.37,1,717747.0,0.0
84,0,8,4,0,1.0,1.16,-0.26,-0.91,-1.48,0,725330.0,0.0
85,0,8,5,0,1.0,0.14,0.84,-0.67,1.22,0,731854.0,0.0
86,0,8,6,0,1.0,0.03,1.56,2.06,0.13,0,739435.0,0.0
87,0,8,7,0,1.0,1.09,-0.1,1.3,3.13,0,743709.0,0.0
88,0,8,8,0,-1.0,-1.8,0.55,4.57,3.1,1,749235.0,0.0
89,0,8,9,1,1.0,-0.33,0.41,-1.3,-0.93,1,756113.0,0.0
90,0,9,0,0,1.0,0.71,-1.0,-0.57,0.78,0,764356.0,0.0
91,0,9,1,1,1.0,-1.36,1.74,0.19,-0.45,1,767835.0,0.0
92,0,9,2,1,-1.0,-0.11,0.96,-0.54,-0.64,0,771797.0,0.0
93,0,9,3,1,1.0,-0.61,0.56,-1.59,-0.13,1,775604.0,0.0
94,0,9,4,1,1.0,-1.78,1.36,1.28,-1.45,1,778646.0,0.0
95,0,9,5,0,1.0,0.27,0.93,2.02,0.01,0,781795.0,0.0
96,0,9,6,0,1.0,1.9,-1.68,-2.32,0.86,0,784774.0,0.0
97,0,9,7,1,1.0,-0.65,0.05,0.09,-0.06,1,787879.0,0.0
98,0,9,8,0,1.0,0.99,-0.28,-1.48,0.17,0,791573.0,0.0
99,0,9,9,1,-1.0,-0.27,0.25,1.44,0.9,0,794708.0,0.0
100,0,10,0,0,1.0,0.21,-0.13,0.29,0.65,0,800601.0,0.0
101,0,10,1,1,1.0,-1.6,-1.34,2.52,1.47,1,803605.0,0.0
102,0,10,2,0,1.0,1.27,0.4,-0.5,-1.75,0,806893.0,0.0
103,0,10,3,0,1.0,1.82,0.74,-1.81,-1.67,0,809785.0,0.0
104,0,10,4,0,-1.0,0.27,0.2,1.2,1.08,1,812779.0,0.0
105,0,10,5,0,1.0,0.26,-0.25,0.66,0.25,0,816100.0,0.0
106,0,10,6,1,1.0,-0.83,-0.14,0.8,0.5,1,820808.0,0.0
107,0,10,7,0,1.0,0.21,-1.33,0.58,0.87,0,824091.0,0.0
108,0,10,8,1,-1.0,-1.3,-1.71,1.53,2.32,0,827132.0,0.0
109,0,10,9,1,-1.0,-0.32,-1.38,0.58,0.47,0,830401.0,0.0
110,0,11,0,1,1.0,-0.29,0.75,0.97,1.57,1,836784.0,0.0
111,0,11,1,0,1.0,2.41,-2.12,2.5,1.81,0,841436.0,0.0
112,0,11,2,0,1.0,1.38,-0.4,0.66,-0.09,0,845681.0,0.0
113,0,11,3,0,-1.0,1.18,0.33,2.54,1.73,1,851285.0,0.0
114,0,11,4,0,1.0,1.11,-1.97,-1.83,-1.26,0,855780.0,0.0
115,0,11,5,1,1.0,-1.6,-0.36,-1.29,-0.04,1,858737.0,0.0
116,0,11,6,0,-1.0,1.71,1.35,1.8,2.44,1,862203.0,0.0
117,0,11,7,0,1.0,0.94,-2.55,-1.89,-1.03,0,865827.0,0.0
118,0,11,8,0,-1.0,0.2,-0.64,0.8,1.95,1,870684.0,0.0
119,0,11,9,0,1.0,1.58,1.57,0.9,-2.19,0,874002.0,0.0
120,0,12,0,0,1.0,1.52,-1.58,-0.18,1.25,0,879158.0,0.0
121,0,12,1,0,1.0,0.95,-0.05,0.69,-0.24,0,883881.0,0.0
122,0,12,2,0,1.0,0.34,0.8,-1.56,0.75,0,888528.0,0.0
123,0,12,3,1,1.0,-2.61,0.89,-0.79,0.11,1,891905.0,0.0
124,0,12,4,0,-1.0,1.57,-1.43,1.52,-0.13,1,895217.0,0.0
125,0,12,5,1,1.0,-1.19,0.25,0.65,2.28,1,898907.0,0.0
126,0,12,6,0,1.0,1.07,-0.62,-0.32,0.37,0,902482.0,0.0
127,0,12,7,0,1.0,0.75,0.99,-0.66,0.08,0,905592.0,0.0
