input,target,trial_id,task_id
"[0.3, 0.9, 0.2]",innerplanets,0,5000
"[0.4, 0.8, 0.3]",innerplanets,1,5000
"[0.2, 0.7, 0.1]",innerplanets,2,5000
"[0.5, 0.6, 0.4]",innerplanets,3,5000
"[0.1, 0.5, 0.2]",innerplanets,4,5000
"[0.7, 0.4, 0.6]",outerplanets,5,5000
"[0.9, 0.3, 0.8]",outerplanets,6,5000
"[0.8, 0.2, 0.7]",outerplanets,7,5000
"[0.6, 0.9, 0.5]",innerplanets,8,5000
"[0.3, 0.1, 0.4]",innerplanets,9,5000
"[0.4, 0.8, 0.3]",innerplanets,10,5000
"[1.1, 0.7, 1.2]",outerplanets,11,5000
"[0.9, 0.5, 0.8]",outerplanets,12,5000
"[0.2, 0.4, 0.1]",innerplanets,13,5000
"[0.5, 0.3, 0.4]",innerplanets,14,5000
"[1.3, 0.9, 1.5]",outerplanets,15,5000
"[0.8, 0.6, 0.7]",outerplanets,16,5000
"[0.1, 0.2, 0.3]",innerplanets,17,5000
"[0.6, 0.8, 0.5]",innerplanets,18,5000
"[1.2, 0.4, 1.1]",outerplanets,19,5000
"[0.7, 0.9, 0.6]",outerplanets,20,5000
"[0.3, 0.5, 0.2]",innerplanets,21,5000
"[0.4, 0.7, 0.3]",innerplanets,22,5000
"[1.5, 0.8, 1.7]",outerplanets,23,5000
"[0.9, 0.6, 0.8]",outerplanets,24,5000
"[0.2, 0.3, 0.1]",innerplanets,25,5000
"[0.5, 0.4, 0.4]",innerplanets,26,5000
"[1.1, 0.5, 1.3]",outerplanets,27,5000
"[0.8, 0.9, 0.7]",outerplanets,28,5000
"[0.1, 0.1, 0.2]",innerplanets,29,5000
"[0.6, 0.7, 0.5]",innerplanets,30,5000
"[1.4, 0.6, 1.6]",outerplanets,31,5000
"[0.7, 0.5, 0.6]",outerplanets,32,5000
"[0.3, 0.2, 0.3]",innerplanets,33,5000
"[0.4, 0.6, 0.4]",innerplanets,34,5000
"[1.7, 0.9, 1.8]",outerplanets,35,5000
"[0.9, 0.7, 0.8]",outerplanets,36,5000
"[0.2, 0.4, 0.2]",innerplanets,37,5000
"[0.5, 0.5, 0.5]",innerplanets,38,5000
"[1.2, 0.8, 1.4]",outerplanets,39,5000
"[0.8, 0.6, 0.7]",outerplanets,40,5000
"[0.1, 0.3, 0.2]",innerplanets,41,5000
"[0.6, 0.9, 0.5]",innerplanets,42,5000
"[1.5, 0.5, 1.7]",outerplanets,43,5000
"[0.7, 0.4, 0.6]",outerplanets,44,5000
"[0.3, 0.8, 0.3]",innerplanets,45,5000
"[0.4, 0.9, 0.4]",innerplanets,46,5000
"[1.3, 0.7, 1.5]",outerplanets,47,5000
"[0.9, 0.5, 0.8]",outerplanets,48,5000
"[0.2, 0.6, 0.2]",innerplanets,49,5000
"[0.5, 0.8, 0.5]",innerplanets,50,5000
"[1.4, 0.9, 1.6]",outerplanets,51,5000
"[0.8, 0.7, 0.7]",outerplanets,52,5000
"[0.1, 0.4, 0.2]",innerplanets,53,5000
"[0.6, 0.6, 0.5]",innerplanets,54,5000
"[1.6, 0.8, 1.8]",outerplanets,55,5000
"[0.7, 0.9, 0.6]",outerplanets,56,5000
"[0.3, 0.7, 0.3]",innerplanets,57,5000
"[0.4, 0.5, 0.4]",innerplanets,58,5000
"[1.5, 0.6, 1.7]",outerplanets,59,5000
"[0.9, 0.8, 0.8]",outerplanets,60,5000
"[0.2, 0.9, 0.2]",innerplanets,61,5000
"[0.5, 0.7, 0.5]",innerplanets,62,5000
"[1.3, 0.5, 1.5]",outerplanets,63,5000
"[0.8, 0.4, 0.7]",outerplanets,64,5000
"[0.1, 0.5, 0.2]",innerplanets,65,5000
"[0.6, 0.8, 0.5]",innerplanets,66,5000
"[1.4, 0.7, 1.6]",outerplanets,67,5000
"[0.7, 0.6, 0.6]",outerplanets,68,5000
"[0.3, 0.4, 0.3]",innerplanets,69,5000
"[0.4, 0.3, 0.4]",innerplanets,70,5000
"[1.7, 0.9, 1.8]",outerplanets,71,5000
"[0.9, 0.5, 0.8]",outerplanets,72,5000
"[0.2, 0.7, 0.2]",innerplanets,73,5000
"[0.5, 0.4, 0.5]",innerplanets,74,5000
"[1.2, 0.8, 1.4]",outerplanets,75,5000
"[0.8, 0.9, 0.7]",outerplanets,76,5000
"[0.1, 0.2, 0.2]",innerplanets,77,5000
