input,target,trial_id,task_id
"[3.0, 8.0]",Fruits,0,0
"[5.0, 2.0]",Vehicles,1,0
"[1.0, 9.0]",Fruits,2,0
"[7.0, 4.0]",Vehicles,3,0
"[2.0, 6.0]",Fruits,4,0
"[9.0, 1.0]",Vehicles,5,0
"[4.0, 8.0]",Fruits,6,0
"[6.0, 3.0]",Vehicles,7,0
"[8.0, 5.0]",Fruits,8,0
"[3.0, 7.0]",Vehicles,9,0
"[1.0, 4.0]",Fruits,10,0
"[5.0, 9.0]",Vehicles,11,0
"[2.0, 1.0]",Fruits,12,0
"[8.0, 6.0]",Vehicles,13,0
"[9.0, 8.0]",Fruits,14,0
"[4.0, 2.0]",Vehicles,15,0
"[6.0, 5.0]",Fruits,16,0
"[7.0, 1.0]",Vehicles,17,0
"[3.0, 9.0]",Fruits,18,0
"[2.0, 7.0]",Vehicles,19,0
"[5.0, 4.0]",Fruits,20,0
"[1.0, 6.0]",Vehicles,21,0
"[8.0, 3.0]",Fruits,22,0
"[9.0, 2.0]",Vehicles,23,0
"[4.0, 8.0]",Fruits,24,0
"[6.0, 1.0]",Vehicles,25,0
"[7.0, 5.0]",Fruits,26,0
"[3.0, 4.0]",Vehicles,27,0
"[2.0, 9.0]",Fruits,28,0
"[5.0, 7.0]",Vehicles,29,0
"[1.0, 3.0]",Fruits,30,0
"[8.0, 2.0]",Vehicles,31,0
"[9.0, 6.0]",Fruits,32,0
"[4.0, 5.0]",Vehicles,33,0
"[6.0, 8.0]",Fruits,34,0
"[7.0, 4.0]",Vehicles,35,0
"[3.0, 1.0]",Fruits,36,0
"[2.0, 5.0]",Vehicles,37,0
"[5.0, 9.0]",Fruits,38,0
"[1.0, 7.0]",Vehicles,39,0
"[8.0, 6.0]",Fruits,40,0
"[4.0, 3.0]",Vehicles,41,0
"[9.0, 2.0]",Fruits,42,0
"[6.0, 5.0]",Vehicles,43,0
"[7.0, 8.0]",Fruits,44,0
"[3.0, 4.0]",Vehicles,45,0
"[2.0, 1.0]",Fruits,46,0
"[5.0, 6.0]",Vehicles,47,0
"[1.0, 9.0]",Fruits,48,0
"[8.0, 7.0]",Vehicles,49,0
"[4.0, 2.0]",Fruits,50,0
"[9.0, 5.0]",Vehicles,51,0
"[6.0, 4.0]",Fruits,52,0
"[7.0, 3.0]",Vehicles,53,0
"[3.0, 6.0]",Fruits,54,0
"[2.0, 8.0]",Vehicles,55,0
"[5.0, 1.0]",Fruits,56,0
"[1.0, 5.0]",Vehicles,57,0
"[8.0, 9.0]",Fruits,58,0
"[4.0, 7.0]",Vehicles,59,0
"[6.0, 2.0]",Fruits,60,0
"[9.0, 3.0]",Vehicles,61,0
"[7.0, 6.0]",Fruits,62,0
"[3.0, 5.0]",Vehicles,63,0
"[2.0, 4.0]",Fruits,64,0
"[5.0, 8.0]",Vehicles,65,0
"[1.0, 2.0]",Fruits,66,0
"[8.0, 5.0]",Vehicles,67,0
"[9.0, 7.0]",Fruits,68,0
"[4.0, 1.0]",Vehicles,69,0
"[6.0, 9.0]",Fruits,70,0
"[7.0, 2.0]",Vehicles,71,0
"[3.0, 6.0]",Fruits,72,0
"[2.0, 3.0]",Vehicles,73,0
"[5.0, 4.0]",Fruits,74,0
"[1.0, 8.0]",Vehicles,75,0
"[8.0, 1.0]",Fruits,76,0
"[9.0, 4.0]",Vehicles,77,0
"[4.0, 6.0]",Fruits,78,0
"[6.0, 7.0]",Vehicles,79,0
"[7.0, 9.0]",Fruits,80,0
"[3.0, 2.0]",Vehicles,81,0
"[2.0, 5.0]",Fruits,82,0
"[5.0, 1.0]",Vehicles,83,0
"[1.0, 4.0]",Fruits,84,0
