input,target,trial_id,task_id
"[5.2, 3.1, 2.5, 20.5, 0.8, 3.2]",fruits,0,0
"[3.8, 2.9, 2.2, 18.2, 0.5, 2.8]",fruits,1,0
"[4.1, 3.5, 2.8, 22.1, 0.9, 3.5]",fruits,2,0
"[6.5, 4.2, 3.1, 19.8, 1.1, 3.9]",fruits,3,0
"[5.9, 4.8, 3.4, 21.5, 1.3, 4.2]",fruits,4,0
"[4.6, 3.2, 2.6, 20.1, 0.7, 3.4]",fruits,5,0
"[3.3, 2.5, 2.1, 18.5, 0.4, 2.9]",fruits,6,0
"[5.5, 4.1, 3.0, 22.3, 1.0, 3.7]",fruits,7,0
"[6.1, 5.0, 3.6, 20.9, 1.4, 4.5]",fruits,8,0
"[4.3, 3.7, 2.9, 21.2, 0.8, 3.6]",fruits,9,0
"[7.2, 5.5, 3.8, 19.2, 1.5, 4.8]",fruits,10,0
"[5.8, 4.4, 3.2, 20.5, 1.1, 4.1]",fruits,11,0
"[4.9, 3.9, 3.1, 22.5, 0.9, 3.9]",fruits,12,0
"[6.7, 5.2, 3.9, 21.8, 1.3, 4.6]",fruits,13,0
"[5.1, 4.0, 3.3, 20.2, 0.8, 3.5]",fruits,14,0
"[3.5, 2.7, 2.4, 18.8, 0.5, 3.0]",fruits,15,0
"[6.3, 5.1, 3.7, 22.9, 1.2, 4.4]",fruits,16,0
"[5.4, 4.2, 3.5, 21.1, 1.0, 4.0]",fruits,17,0
"[4.2, 3.4, 2.8, 20.8, 0.7, 3.3]",fruits,18,0
"[7.5, 5.8, 4.1, 20.4, 1.6, 5.0]",fruits,19,0
"[5.6, 4.5, 3.6, 21.6, 1.2, 4.3]",fruits,20,0
"[4.8, 3.8, 3.0, 22.2, 0.9, 3.8]",fruits,21,0
"[6.9, 5.4, 4.2, 21.9, 1.4, 4.7]",fruits,22,0
"[5.3, 4.1, 3.4, 20.6, 1.0, 3.9]",fruits,23,0
"[4.5, 3.6, 2.9, 21.4, 0.8, 3.6]",fruits,24,0
"[7.8, 6.1, 4.5, 20.7, 1.7, 5.2]",fruits,25,0
