input,target,trial_id,task_id
"[40.0, 70.0, 120.0]",fruits,0,0
"[30.0, 50.0, 140.0]",fruits,1,0
"[50.0, 60.0, 110.0]",fruits,2,0
"[60.0, 80.0, 130.0]",fruits,3,0
"[20.0, 40.0, 150.0]",fruits,4,0
"[45.0, 75.0, 125.0]",fruits,5,0
"[35.0, 55.0, 135.0]",fruits,6,0
"[55.0, 65.0, 115.0]",fruits,7,0
"[25.0, 45.0, 145.0]",fruits,8,0
"[48.0, 78.0, 128.0]",fruits,9,0
"[38.0, 58.0, 138.0]",fruits,10,0
"[58.0, 68.0, 118.0]",fruits,11,0
"[28.0, 48.0, 148.0]",fruits,12,0
"[42.0, 72.0, 122.0]",fruits,13,0
"[32.0, 52.0, 132.0]",fruits,14,0
"[52.0, 62.0, 112.0]",fruits,15,0
"[22.0, 42.0, 142.0]",fruits,16,0
"[44.0, 74.0, 126.0]",fruits,17,0
"[34.0, 54.0, 136.0]",fruits,18,0
"[54.0, 64.0, 116.0]",fruits,19,0
"[24.0, 44.0, 146.0]",fruits,20,0
"[46.0, 76.0, 124.0]",fruits,21,0
"[36.0, 56.0, 134.0]",fruits,22,0
"[56.0, 66.0, 114.0]",fruits,23,0
"[26.0, 46.0, 144.0]",fruits,24,0
"[41.0, 71.0, 121.0]",fruits,25,0
"[31.0, 51.0, 131.0]",fruits,26,0
"[51.0, 61.0, 111.0]",fruits,27,0
"[21.0, 41.0, 141.0]",fruits,28,0
"[43.0, 73.0, 127.0]",fruits,29,0
"[33.0, 53.0, 137.0]",fruits,30,0
"[53.0, 63.0, 117.0]",fruits,31,0
"[23.0, 43.0, 147.0]",fruits,32,0
"[40.0, 60.0, 100.0]",vegetables,33,0
"[30.0, 50.0, 90.0]",vegetables,34,0
"[50.0, 70.0, 110.0]",vegetables,35,0
"[60.0, 80.0, 120.0]",vegetables,36,0
"[20.0, 40.0, 80.0]",vegetables,37,0
"[45.0, 65.0, 105.0]",vegetables,38,0
"[35.0, 55.0, 95.0]",vegetables,39,0
"[55.0, 75.0, 115.0]",vegetables,40,0
"[25.0, 45.0, 85.0]",vegetables,41,0
"[48.0, 68.0, 108.0]",vegetables,42,0
"[38.0, 58.0, 98.0]",vegetables,43,0
"[58.0, 78.0, 118.0]",vegetables,44,0
"[28.0, 48.0, 88.0]",vegetables,45,0
"[42.0, 62.0, 102.0]",vegetables,46,0
"[32.0, 52.0, 92.0]",vegetables,47,0
"[52.0, 72.0, 112.0]",vegetables,48,0
"[22.0, 42.0, 82.0]",vegetables,49,0
"[44.0, 64.0, 104.0]",vegetables,50,0
"[34.0, 54.0, 94.0]",vegetables,51,0
"[54.0, 74.0, 114.0]",vegetables,52,0
"[24.0, 44.0, 84.0]",vegetables,53,0
"[41.0, 61.0, 101.0]",vegetables,54,0
"[31.0, 51.0, 91.0]",vegetables,55,0
"[51.0, 71.0, 111.0]",vegetables,56,0
"[21.0, 41.0, 81.0]",vegetables,57,0
"[43.0, 63.0, 103.0]",vegetables,58,0
"[33.0, 53.0, 93.0]",vegetables,59,0
"[53.0, 73.0, 113.0]",vegetables,60,0
"[23.0, 43.0, 83.0]",vegetables,61,0
"[40.0, 60.0, 140.0]",fruits,62,0
"[30.0, 50.0, 130.0]",fruits,63,0
"[50.0, 70.0, 150.0]",fruits,64,0
"[60.0, 80.0, 160.0]",fruits,65,0
"[20.0, 40.0, 120.0]",fruits,66,0
"[45.0, 65.0, 145.0]",fruits,67,0
"[35.0, 55.0, 135.0]",fruits,68,0
"[55.0, 75.0, 155.0]",fruits,69,0
"[25.0, 45.0, 125.0]",fruits,70,0
"[48.0, 68.0, 148.0]",fruits,71,0
"[38.0, 58.0, 138.0]",fruits,72,0
"[58.0, 78.0, 158.0]",fruits,73,0
"[28.0, 48.0, 128.0]",fruits,74,0
"[42.0, 62.0, 142.0]",fruits,75,0
"[32.0, 52.0, 132.0]",fruits,76,0
"[52.0, 72.0, 152.0]",fruits,77,0
"[22.0, 42.0, 122.0]",fruits,78,0
"[44.0, 64.0, 144.0]",fruits,79,0
"[34.0, 54.0, 134.0]",fruits,80,0
"[54.0, 74.0, 154.0]",fruits,81,0
"[24.0, 44.0, 124.0]",fruits,82,0
"[41.0, 61.0, 141.0]",fruits,83,0
"[31.0, 51.0, 131.0]",fruits,84,0
"[51.0, 71.0, 151.0]",fruits,85,0
"[21.0, 41.0, 121.0]",fruits,86,0
"[43.0, 63.0, 143.0]",fruits,87,0
"[33.0, 53.0, 133.0]",fruits,88,0
"[53.0, 73.0, 153.0]",fruits,89,0
"[23.0, 43.0, 123.0]",fruits,90,0
"[40.0, 60.0, 90.0]",vegetables,91,0
"[30.0, 50.0, 80.0]",vegetables,92,0
"[50.0, 70.0, 100.0]",vegetables,93,0
"[60.0, 80.0, 110.0]",vegetables,94,0
"[20.0, 40.0, 70.0]",vegetables,95,0
"[45.0, 65.0, 95.0]",vegetables,96,0
"[35.0, 55.0, 85.0]",vegetables,97,0
"[55.0, 75.0, 105.0]",vegetables,98,0
"[25.0, 45.0, 75.0]",vegetables,99,0
"[5.0, 3.0, 2.0]",books,0,1
"[4.0, 4.0, 1.0]",books,1,1
"[7.0, 2.0, 3.0]",movies,2,1
"[6.0, 3.0, 2.0]",books,3,1
"[5.0, 5.0, 1.0]",books,4,1
"[8.0, 2.0, 4.0]",movies,5,1
"[4.0, 3.0, 3.0]",books,6,1
"[7.0, 4.0, 2.0]",movies,7,1
"[6.0, 5.0, 1.0]",books,8,1
"[5.0, 4.0, 3.0]",books,9,1
"[9.0, 3.0, 4.0]",movies,10,1
"[7.0, 5.0, 2.0]",movies,11,1
"[6.0, 4.0, 3.0]",books,12,1
"[5.0, 6.0, 1.0]",books,13,1
"[8.0, 4.0, 3.0]",movies,14,1
"[7.0, 6.0, 2.0]",movies,15,1
"[6.0, 5.0, 3.0]",books,16,1
"[5.0, 7.0, 1.0]",books,17,1
"[9.0, 5.0, 3.0]",movies,18,1
"[8.0, 6.0, 2.0]",movies,19,1
"[7.0, 7.0, 3.0]",movies,20,1
"[6.0, 6.0, 3.0]",books,21,1
"[5.0, 8.0, 1.0]",books,22,1
"[9.0, 6.0, 3.0]",movies,23,1
"[8.0, 7.0, 2.0]",movies,24,1
"[7.0, 8.0, 3.0]",movies,25,1
"[6.0, 7.0, 3.0]",books,26,1
"[5.0, 9.0, 1.0]",books,27,1
"[10.0, 7.0, 3.0]",movies,28,1
"[9.0, 8.0, 2.0]",movies,29,1
"[8.0, 9.0, 3.0]",movies,30,1
"[7.0, 9.0, 3.0]",movies,31,1
"[6.0, 8.0, 3.0]",books,32,1
"[5.0, 10.0, 1.0]",books,33,1
"[11.0, 8.0, 3.0]",movies,34,1
"[10.0, 9.0, 2.0]",movies,35,1
"[9.0, 10.0, 3.0]",movies,36,1
"[8.0, 10.0, 3.0]",movies,37,1
"[7.0, 10.0, 3.0]",movies,38,1
"[6.0, 9.0, 3.0]",books,39,1
"[5.0, 11.0, 1.0]",books,40,1
"[12.0, 9.0, 3.0]",movies,41,1
"[11.0, 10.0, 2.0]",movies,42,1
"[10.0, 11.0, 3.0]",movies,43,1
"[9.0, 11.0, 3.0]",movies,44,1
"[8.0, 11.0, 3.0]",movies,45,1
"[7.0, 11.0, 3.0]",movies,46,1
"[6.0, 10.0, 3.0]",books,47,1
"[5.0, 12.0, 1.0]",books,48,1
"[13.0, 10.0, 3.0]",movies,49,1
"[12.0, 11.0, 2.0]",movies,50,1
"[11.0, 12.0, 3.0]",movies,51,1
"[10.0, 12.0, 3.0]",movies,52,1
"[9.0, 12.0, 3.0]",movies,53,1
"[8.0, 12.0, 3.0]",movies,54,1
"[7.0, 12.0, 3.0]",movies,55,1
"[6.0, 11.0, 3.0]",books,56,1
"[5.0, 13.0, 1.0]",books,57,1
"[14.0, 11.0, 3.0]",movies,58,1
